vin,display_color,year,make,model,price,mileage,city,condition,dealer_name,state,trim,body_style
WBA8E5G5XJNU47617,Black Sapphire Metallic,2018,BMW,3 Series,"$25,570","29,003 Miles",Forest Hills,used,Sunrise Chevrolet,NY,320i xDrive,sedan
1FTFW1E45LKF52922,Oxford White,2020,Ford,F-150,"$56,399","5,070 Miles",Indianapolis,used,Champion Chrysler Dodge Jeep Ram,IN,Lariat,truck
3C7WRDAJXMG641451,Bright White Clearcoat,2021,Ram,Chassis 3500,"$45,620",New,Pulaski,new,S & L Motors,WI,Tradesman,truck
5XYP5DHC4LG009420,Everlasting Silver,2020,Kia,Telluride,"$49,997","33,997 Miles",Hooksett,used,Merchants Automotive Group,NH,SX,suv
1FM5K8GT9KGB37829,Magnetic,2019,Ford,Explorer,"$42,500","17,595 Miles",Lewisville,certified pre-owned,Five Star Ford Lewisville,TX,Sport,suv
1GC1KUEG8JF191466,Black,2018,Chevrolet,Silverado 2500HD,"$33,727","108,478 Miles",Canal Winchester,used,Jeff Wyler Chevrolet of Columbus,OH,Work Truck,truck
1FA6P8CF5L5108101,White,2020,Ford,Mustang,"$38,499","22,157 Miles",Stafford,used,Texas Direct Auto,TX,GT,coupe
KL4CJCSM6KB773519,Winterberry Red Metallic,2019,Buick,Encore,"$20,373","64,198 Miles",Nashville,used,Hertz Car Sales Nashville,TN,Essence,suv
WA1ECCFS7JR025346,Mythos Black Metallic,2018,Audi,Q3,"$25,499","29,912 Miles",Jersey City,used,Axis Motorcars,NJ,2.0T quattro Premium,suv
1C4RJFCG6MC726952,Velvet Red Pearlcoat,2021,Jeep,Grand Cherokee,"$57,410",New,St Charles,new,St. Charles Chrysler Dodge Jeep Ram,IL,High Altitude,suv
1FM5K7B82KGA75557,Black,2019,Ford,Explorer,"$25,998","58,484 Miles",Houston,used,CarMax Gulf Freeway - Now offering Curbside Pickup and Home Delivery,TX,Base,suv
5TFAY5F13KX785876,Silver,2019,Toyota,Tundra,"$48,998","37,437 Miles",Miami Lakes,used,CarMax Miami Lakes - Now offering Curbside Pickup and Home Delivery,FL,Platinum,truck
1FTEW1CP7MFC27823,Iconic Silver Metallic,2021,Ford,F-150,"$41,715",New,Spring,new,Planet Ford,TX,XL,truck
5FPYK3F77KB021295,Forest Mist Metallic,2019,Honda,Ridgeline,"$39,499","37,500 Miles",Mt Juliet,used,MotorCars of Nashville,TN,RTL-E,truck
WP0CA2A87JS210854,White,2018,Porsche,718 Boxster,"$50,998","47,776 Miles",Hickory,used,CarMax Hickory - Now offering Curbside Pickup and Home Delivery,NC,Base,convertible
KNMAT2MT1LP519839,White,2020,Nissan,Rogue,"$25,998","18,355 Miles",Norco,used,CarMax Norco - Now offering Curbside Pickup & Home Delivery,CA,SV,crossover
5TFNX4CN6EX032806,Gray,2014,Toyota,Tacoma,"$22,998","73,321 Miles",Costa Mesa,used,CarMax Costa Mesa - Now offering Curbside Pickup and Home Delivery,CA,Base,truck
ZAM56RRA5G1164722,Gray,2016,Maserati,Quattroporte,"$40,999","32,366 Miles",Stafford,used,Texas Direct Auto,TX,S Q4,sedan
KNMAT2MV1KP529139,Glacier White,2019,Nissan,Rogue,"$19,190","66,026 Miles",Norwalk,used,Hertz Car Sales Norwalk,CA,S,crossover
1FMJU1MT7FEF43095,Gray,2015,Ford,Expedition,"$30,415","67,860 Miles",San Antonio,used,Cavender Cadillac,TX,Platinum,suv
1C4HJXEN7JW328723,Granite Crystal Metallic Clearcoat,2018,Jeep,Wrangler Unlimited,"$43,582","29,989 Miles",Columbus,used,Cavender Chrysler Jeep Dodge Ram,TX,Sahara,suv
1C4RJKBG1M8181756,Baltic Gray Metallic Clearcoat,2021,Jeep,Grand Cherokee L,"$46,535",New,Parkville,new,Heritage Chrysler Jeep Dodge Ram Parkville,MD,Limited,suv
1N4AA6AP3HC441606,Gun Metallic,2017,Nissan,Maxima,"$20,990","97,462 Miles",Weatherford,used,Honda of Weatherford,TX,3.5 SL,sedan
JN1BJ1CPXKW520326,Magnetic Black Pearl,2019,Nissan,Rogue Sport,"$20,675","53,177 Miles",Memphis,used,Hertz Car Sales Memphis,TN,S,crossover
1GCPYFED8MZ163518,White,2021,Chevrolet,Silverado 1500,"$53,999","6,176 Miles",Stafford,used,Texas Direct Auto,TX,LT Trail Boss,truck
5NPE34AF5FH198240,Black,2015,Hyundai,Sonata,"$14,500","95,421 Miles",Commerce,used,Shift LA - Test Drives Delivered to You,CA,Sport,sedan
5J8YD4H56KL004541,Blue,2019,Acura,MDX,"$34,995","37,155 Miles",Bronx,used,Victory Mitsubishi,NY,SH-AWD w/Tech,suv
ZARFAMBNXN7652961,Alfa White,2022,Alfa Romeo,Giulia,"$49,235",New,Spring,new,Northside Alfa Romeo-FIAT,TX,Ti,sedan
3C4NJDBB5JT200174,Blue,2018,Jeep,Compass,"$23,379","17,925 Miles",Avondale,used,EchoPark Automotive Phoenix (Avondale),AZ,Latitude,suv
1C4PJLDB6KD415876,"White,bright",2019,Jeep,Cherokee,"$23,998","62,279 Miles",Harvey,used,Hertz Car Sales New Orleans,LA,Limited,suv
1C4PJLLB8KD312203,Green,2019,Jeep,Cherokee,"$25,998","24,411 Miles",Hickory,used,CarMax Hickory - Now offering Curbside Pickup and Home Delivery,NC,Latitude Plus,suv
19XFC2F8XJE038581,Blue,2018,Honda,Civic,"$22,998","23,683 Miles",Murfreesboro,used,CarMax Murfreesboro - Now offering Curbside Pickup,TN,EX w/Honda Sensing,sedan
5YJ3E1EA6LF658126,Silver,2020,Tesla,Model 3,"$47,455","8,004 Miles",San Antonio,used,INFINITI of San Antonio,TX,Standard Range Plus,sedan
1C4BJWFG2GL191636,Billet Silver Metallic Clear Coat,2016,Jeep,Wrangler Unlimited,"$37,499","21,641 Miles",Stafford,used,Texas Direct Auto,TX,Rubicon,suv
3GCUKSEC2JG594856,Red,2018,Chevrolet,Silverado 1500,"$42,900","65,401 Miles",Boerne,certified pre-owned,Cavender Chevrolet,TX,LTZ,truck
3C4NJDDB0JT136154,Red,2018,Jeep,Compass,"$28,998","24,840 Miles",Gilbert,used,CarMax Phoenix-Gilbert - Now offering Curbside Pickup,AZ,Trailhawk,suv
