price,make,model,year,mileage,display_color,vin,dealer_name,state,trim,body_style,condition,city
17989,Mercedes-Benz,EClass,2012,80169 ,Black,WDDHF5KB1CA539616,Smart Chevrolet,NC,E 350 Luxury,sedan,used,Madison
79988,Nissan,GTR,2012,17659 ,White,JN1AR5EF7CM250324,The Sharpest Rides,CO,Premium,coupe,used,Englewood
16998,Honda,Accord,2012,50606 ,Silver,1HGCP2F67CA101181,CarMax Columbia - Now offering Curbside Pickup,SC,SE,sedan,used,Columbia
26499,Jeep,Wrangler Unlimited,2012,69008 ,Black Clear Coat,1C4BJWFGXCL114233,Texas Direct Auto,TX,Rubicon,suv,used,Stafford
10850,Honda,Civic,2012,143157 ,Blue,2HGFB2F88CH513222,Maxx Autos Plus,WA,EX,sedan,used,Puyallup
21499,Audi,A5,2012,52429 ,Ibis White,WAULFAFH1CN008224,Texas Direct Auto,TX,2.0T quattro Premium Plus,convertible,used,Stafford
12436,Honda,Accord,2012,113437 ,Crystal Black Pearl,1HGCP2F79CA139892,Peoria Nissan,AZ,EX,sedan,used,Peoria
24998,Mercedes-Benz,SLK,2012,45055 ,White,WDDPK4HA0CF034766,CarMax Tucson - Now offering Curbside Pickup,AZ,SLK 250,convertible,used,Tucson
13999,Cadillac,CTS,2012,94674 ,White Diamond Tricoat,1G6DE5E55C0110439,Texas Direct Auto,TX,3.0L Luxury,sedan,used,Stafford
7771,Chevrolet,Traverse,2012,127428 ,Dark Silver Metallic,1GNKREED1CJ265667,Advantage BMW Midtown,TX,LS,suv,used,Houston
14990,Honda,CRV,2012,59712 ,Blue,5J6RM4H56CL060087,Autoshow Sales & Service,FL,EX,suv,used,Plantation
16995,GMC,Yukon,2012,148531 ,WHITE,1GKS1CE06CR168424,Southeast Auto Inc,LA,SLT,suv,used,Walker
26500,BMW,6 Series,2012,55682 ,Silver,WBALX3C54CDV77416,Shift Seattle - Test Drives Delivered to You,WA,650i,coupe,used,Auburn
6499,Mitsubishi,iMiEV,2012,49046 ,Diamond White Pearl,JA3215H17CU025635,Texas Direct Auto,TX,ES,hatchback,used,Stafford
16998,Toyota,Corolla,2012,30134 ,Gold,5YFBU4EE9CP068980,CarMax Gastonia - Now offering Curbside Pickup and Home Delivery,NC,L,sedan,used,Gastonia
14350,Lexus,ES 350,2012,111951 ,Blue,JTHBK1EG2C2495498,Shift Seattle - Test Drives Delivered to You,WA,Base,sedan,used,Auburn
